r,u
2,0x00809800
2,0x0080a000
2,0x0080a800
2,0x0080b000
2,0x0080c000
2,0x0080c800
2,0x0080d000
2,0x0080e000
2,0x0080f000
2,0x00900000
2,0x00900001
2,0x00900002
2,0x00900003
2,0x00900004
2,0x00900005
2,0x00900007
2,0x00900008
2,0x00900009
2,0x0090000a
2,0x0090000b
2,0x0090000c
2,0x0090000d
2,0x0090000e
2,0x0090000f
2,0x00900100
2,0x00900200
2,0x00900300
2,0x00900400
2,0x00900500
2,0x00900600
2,0x00900700
2,0x00900800
2,0x00900900
2,0x00900a00
2,0x00900b00
2,0x00900c00
2,0x00900d00
2,0x00900e00
2,0x00900f00
2,0x00901000
2,0x00902000
2,0x00903000
2,0x00904000
2,0x00905000
2,0x00906000
2,0x00907000
2,0x00908000
2,0x00909000
2,0x0090a000
2,0x0090b000
2,0x0090c000
2,0x0090d000
2,0x0090e000
2,0x0090f000
2,0x00a00000
2,0x00a00001
2,0x00a00003
2,0x00a00004
2,0x00a00005
2,0x00a00006
2,0x00a00007
2,0x00a00008
2,0x00a00009
2,0x00a0000a
2,0x00a0000b
2,0x00a0000c
2,0x00a0000e
2,0x00a00100
2,0x00a00200
2,0x00a00300
2,0x00a00400
2,0x00a00500
2,0x00a00600
2,0x00a00700
2,0x00a00800
2,0x00a00900
2,0x00a00a00
2,0x00a00b00
2,0x00a00c00
2,0x00a00d00
2,0x00a00e00
2,0x00a00f00
2,0x00a01000
2,0x00a02000
2,0x00a03000
2,0x00a04000
2,0x00a05000
2,0x00a06000
2,0x00a07000
2,0x00a08000
2,0x00a09000
2,0x00a0a000
2,0x00a0b000
2,0x00a0c000
2,0x00a0d000
2,0x00a0e000
2,0x00a0f000
2,0x00b00000
2,0x00b00001
2,0x00b00002
2,0x00b00003
2,0x00b00006
2,0x00b00007
2,0x00b00008
2,0x00b00009
